# Region type : patch rightWall
# Faces       : 1296
# Area        : 5.400000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(heatTransferCoeff(T))	areaAverage(wallShearStress)	areaAverage(T)
0.4           	-4.993962e+02	(-1.527203e-04 8.209190e-03 4.643135e-01)	3.130000e+02
0.8           	-3.848098e+02	(-1.189146e-04 8.207300e-03 4.524579e-01)	3.130000e+02
1.2           	-3.413637e+02	(-4.723830e-05 8.231663e-03 4.624293e-01)	3.130000e+02
1.6           	-3.217709e+02	(-1.383762e-04 8.227745e-03 4.681250e-01)	3.130000e+02
2             	-3.141005e+02	(-1.385573e-04 8.229885e-03 4.691748e-01)	3.130000e+02
2.4           	-3.121298e+02	(-2.721080e-04 8.218813e-03 4.700318e-01)	3.130000e+02
2.8           	-3.119043e+02	(-1.327583e-04 8.230429e-03 4.706285e-01)	3.130000e+02
3.2           	-3.119451e+02	(-1.501996e-04 8.199859e-03 4.706043e-01)	3.130000e+02
3.6           	-3.119528e+02	(-6.206381e-05 8.214122e-03 4.708817e-01)	3.130000e+02
4             	-3.119458e+02	(-1.685412e-04 8.216816e-03 4.705155e-01)	3.130000e+02
4.4           	-3.119811e+02	(-1.241521e-04 8.218617e-03 4.706897e-01)	3.130000e+02
4.8           	-3.119606e+02	(-1.585251e-04 8.217542e-03 4.706198e-01)	3.130000e+02
5.2           	-3.119323e+02	(-2.457071e-05 8.213693e-03 4.704818e-01)	3.130000e+02
5.6           	-3.119886e+02	(-1.226694e-04 8.207303e-03 4.705402e-01)	3.130000e+02
6             	-3.119607e+02	(-1.251517e-04 8.218048e-03 4.702479e-01)	3.130000e+02
6.4           	-3.119397e+02	(-1.138112e-04 8.219313e-03 4.706987e-01)	3.130000e+02
6.8           	-3.119829e+02	(-1.547136e-04 8.217877e-03 4.707000e-01)	3.130000e+02
7.2           	-3.119547e+02	(3.813653e-05 8.204541e-03 4.704813e-01)	3.130000e+02
7.6           	-3.119750e+02	(6.838683e-05 8.211863e-03 4.704374e-01)	3.130000e+02
8             	-3.118784e+02	(-1.235678e-05 8.233895e-03 4.700279e-01)	3.130000e+02
8.4           	-3.120105e+02	(6.480488e-06 8.223262e-03 4.706562e-01)	3.130000e+02
8.8           	-3.119590e+02	(-3.684413e-05 8.203048e-03 4.705361e-01)	3.130000e+02
9.2           	-3.119567e+02	(-1.108691e-04 8.218746e-03 4.704788e-01)	3.130000e+02
9.6           	-3.119392e+02	(5.773191e-05 8.214873e-03 4.703716e-01)	3.130000e+02
10            	-3.119506e+02	(-4.637155e-05 8.222029e-03 4.703497e-01)	3.130000e+02
10.4          	-3.120670e+02	(-7.290664e-05 8.216789e-03 4.710401e-01)	3.130000e+02
10.8          	-3.119684e+02	(1.134987e-04 8.229033e-03 4.705793e-01)	3.130000e+02
11.2          	-3.119396e+02	(-8.075751e-05 8.215785e-03 4.704823e-01)	3.130000e+02
11.6          	-3.119759e+02	(-7.643538e-06 8.199696e-03 4.704928e-01)	3.130000e+02
12            	-3.119184e+02	(8.728429e-05 8.224239e-03 4.700551e-01)	3.130000e+02
12.4          	-3.119325e+02	(1.057961e-04 8.223888e-03 4.701722e-01)	3.130000e+02
12.8          	-3.119476e+02	(5.166034e-05 8.211499e-03 4.702812e-01)	3.130000e+02
13.2          	-3.119441e+02	(-1.644446e-04 8.217163e-03 4.707286e-01)	3.130000e+02
13.6          	-3.118905e+02	(-1.700237e-04 8.217974e-03 4.703406e-01)	3.130000e+02
14            	-3.119193e+02	(-6.932456e-05 8.221783e-03 4.701936e-01)	3.130000e+02
14.4          	-3.119403e+02	(-3.122519e-05 8.192838e-03 4.704841e-01)	3.130000e+02
14.8          	-3.119351e+02	(-5.042258e-05 8.232110e-03 4.702022e-01)	3.130000e+02
